지역,인구수,발생횟수,발생밀도
서울,9736289,1348,0.083791995
울산,1149409,300,0.276870113
전북,1821813,1105,4.8929473
광주,1459360,372,0.109862049
부산,3418871,605,0.135518743
경북,2666072,1767,12.60995503
경기,13218912,3026,2.331264782
충북,1599499,888,4.112561246
강원,1540897,843,9.231226312
인천,2956984,483,0.173632661
경남,3363833,1391,4.357623066
대구,2443528,571,0.206606861
전남,1865039,1404,9.105152353
충남,2124619,1418,5.475796366
세종,336356,79,0.109214642
제주,67738,325,8.871408958
대전,1478436,363,0.132581147
